Time,PRN,CN0_dBHz,Doppler
0.0,3,43.17,750
0.0,4,35.01,4750
0.0,6,40.77,-500
0.0,7,38.98,1750
0.0,8,35.01,3750
0.0,10,36.57,750
0.0,13,42.56,1750
0.0,16,42.12,-2750
0.0,19,39.68,2500
0.0,21,35.32,250
0.0,23,43.87,-500
0.5,3,44.08,750
0.5,6,38.87,-750
0.5,7,39.31,1750
0.5,8,35.96,-2500
0.5,10,36.7,750
0.5,13,42.5,1750
0.5,16,38.87,-3000
0.5,19,40.15,2500
0.5,20,35.51,-3000
0.5,23,44.12,-500
0.5,30,35.58,5500
1.0,2,35.29,-2000
1.0,3,43.18,750
1.0,6,41.43,-500
1.0,7,40.02,1750
1.0,13,43.06,1750
1.0,16,41.77,-2750
1.0,18,35.03,-5250
1.0,19,39.15,2750
1.0,20,36.26,-3000
1.0,23,44.39,-500
1.0,25,35.3,3750
1.0,30,36.26,-3250
1.5,1,35.15,4750
1.5,3,43.04,750
1.5,6,42.55,-500
1.5,7,38.66,1750
1.5,10,35.01,-3500
1.5,12,35.52,5250
1.5,13,41.85,1750
1.5,15,35.51,1750
1.5,16,42.59,-2750
1.5,18,35.51,750
1.5,19,39.67,2500
1.5,22,35.46,-2750
1.5,23,44.32,-500
1.5,30,35.09,-3250
1.5,32,35.22,-3000
2.0,3,43.42,750
2.0,5,35.65,-2500
2.0,6,40.47,-500
2.0,7,38.24,1750
2.0,10,37.34,750
2.0,11,35.38,-3500
2.0,12,35.04,4500
2.0,13,42.21,1750
2.0,16,38.89,-3000
2.0,19,39.24,2750
2.0,20,36.63,-3000
2.0,21,35.45,750
2.0,23,42.67,-500
2.0,27,35.0,3750
2.0,32,35.81,-3000
2.5,3,43.63,750
2.5,6,41.11,-500
2.5,7,38.9,2000
2.5,8,35.32,-1500
2.5,10,37.93,750
2.5,12,35.48,-4750
2.5,13,42.86,1750
2.5,16,43.01,-2750
2.5,17,35.08,1750
2.5,18,35.1,-1500
2.5,19,38.9,2750
2.5,20,35.8,-3000
2.5,23,43.69,-500
2.5,25,35.16,-5500
2.5,30,35.04,-4500
2.5,32,35.37,-6000
3.0,2,35.85,-1000
3.0,3,42.97,750
3.0,6,41.7,-500
3.0,7,39.71,1750
3.0,10,35.17,750
3.0,13,42.27,1750
3.0,16,42.03,-2750
3.0,17,35.84,4750
3.0,18,35.36,1750
3.0,19,38.98,2500
3.0,20,37.02,-3000
3.0,23,44.21,-500
3.5,3,43.52,750
3.5,6,41.27,-500
3.5,7,38.69,2000
3.5,13,43.0,1750
3.5,16,42.56,-2750
3.5,19,39.45,2500
3.5,20,36.59,-3000
3.5,23,43.1,-500
3.5,30,35.42,-3250
3.5,31,35.09,-1500
4.0,3,43.74,750
4.0,6,36.52,-250
4.0,7,38.54,1750
4.0,8,35.28,-3750
4.0,10,37.31,750
4.0,13,41.34,1750
4.0,14,35.33,1250
4.0,16,41.22,-2750
4.0,17,35.0,5500
4.0,19,40.24,2500
4.0,20,38.08,-3000
4.0,23,43.72,-500
4.0,24,35.14,5000
4.5,1,35.27,-3500
4.5,3,43.52,750
4.5,6,41.26,-500
4.5,7,39.84,1750
4.5,8,35.3,0
4.5,10,37.0,750
4.5,13,42.61,1750
4.5,16,37.07,-3000
4.5,19,38.48,2750
4.5,20,36.78,-3000
4.5,22,35.13,5500
4.5,23,42.87,-500
4.5,24,35.11,1000
4.5,29,35.07,-1000
4.5,30,36.46,-3250
4.5,32,35.04,2750
5.0,3,43.42,750
5.0,6,35.26,-250
5.0,7,38.3,2000
5.0,9,35.14,-250
5.0,10,35.68,750
5.0,13,43.01,1750
5.0,14,35.4,-1000
5.0,15,35.19,-4000
5.0,16,39.2,-3000
5.0,19,39.92,2500
5.0,20,36.94,-3000
5.0,22,35.11,4750
5.0,23,44.42,-500
5.0,30,35.07,-3250
5.5,1,35.51,-4250
5.5,3,43.67,750
5.5,5,35.08,5750
5.5,6,37.0,-250
5.5,7,38.48,1750
5.5,10,35.46,1000
5.5,13,41.4,1750
5.5,15,35.06,-3250
5.5,16,40.64,-3000
5.5,17,35.76,-4250
5.5,19,39.81,2750
5.5,20,37.67,-3000
5.5,23,43.7,-500
5.5,30,35.45,-2500
5.5,31,35.18,-3000
6.0,3,44.49,750
6.0,5,35.04,0
6.0,6,38.01,-250
6.0,7,40.06,1750
6.0,8,35.11,4750
6.0,13,43.57,1750
6.0,16,42.51,-2750
6.0,18,35.06,-5250
6.0,19,40.09,2750
6.0,20,36.42,-3000
6.0,23,44.93,-500
6.0,26,35.0,-4000
6.0,32,35.73,-3000
6.5,1,35.14,1000
6.5,3,43.1,750
6.5,5,35.13,-4000
6.5,6,38.48,-250
6.5,7,39.92,1750
6.5,12,36.62,3000
6.5,13,41.05,1750
6.5,15,35.46,1500
6.5,16,39.23,-3000
6.5,19,40.46,2500
6.5,20,35.77,-3000
6.5,23,44.23,-500
6.5,30,35.74,-3250
7.0,3,44.32,750
7.0,5,35.36,-1500
7.0,6,42.22,-500
7.0,7,40.98,1750
7.0,10,35.74,750
7.0,13,42.78,1750
7.0,16,42.45,-2750
7.0,19,39.77,2500
7.0,20,36.94,-3000
7.0,23,44.64,-500
7.5,3,43.5,750
7.5,6,41.14,-500
7.5,7,39.56,1750
7.5,10,35.14,750
7.5,12,35.17,3250
7.5,13,42.86,1750
7.5,16,41.32,-2750
7.5,17,35.52,5000
7.5,18,35.18,-3250
7.5,19,38.67,2750
7.5,23,43.98,-500
7.5,30,35.53,-3250
8.0,3,42.31,750
8.0,6,40.32,-500
8.0,7,39.68,2000
8.0,12,35.41,5750
8.0,13,42.55,1750
8.0,16,41.32,-2750
8.0,19,38.95,2500
8.0,20,38.11,-3000
8.0,23,43.6,-500
8.0,30,35.38,-3250
8.0,32,35.58,-2000
8.5,3,43.27,750
8.5,6,40.12,-750
8.5,7,39.36,1750
8.5,10,35.47,750
8.5,12,35.43,2250
8.5,13,43.24,1750
8.5,16,36.92,-3000
8.5,17,35.08,-2250
8.5,19,38.73,2500
8.5,20,36.14,-3000
8.5,23,43.77,-500
8.5,26,35.92,4000
8.5,30,35.36,5250
8.5,32,35.0,-1000
9.0,3,43.6,750
9.0,4,36.17,2500
9.0,6,40.81,-500
9.0,7,39.34,1750
9.0,13,41.88,1750
9.0,15,35.35,5000
9.0,16,41.65,-2750
9.0,19,40.62,2500
9.0,20,37.5,-3000
9.0,23,43.39,-500
9.0,24,35.35,-5000
9.0,30,35.25,250
9.0,32,37.03,-3000
9.5,3,44.39,750
9.5,4,35.29,0
9.5,6,41.03,-500
9.5,7,39.93,1750
9.5,8,35.14,4500
9.5,11,35.55,-1750
9.5,13,42.8,1750
9.5,16,43.19,-2750
9.5,19,37.44,2750
9.5,20,35.95,-3000
9.5,23,42.92,-500
9.5,31,35.94,0
10.0,3,43.53,750
10.0,6,40.07,-500
10.0,7,38.7,1750
10.0,13,42.35,1750
10.0,16,43.66,-2750
10.0,19,38.93,2750
10.0,22,35.1,4500
10.0,23,43.37,-500
10.0,24,35.46,2250
10.0,28,35.15,-4000
10.0,32,35.62,4750
10.5,3,43.7,750
10.5,6,36.98,-250
10.5,7,38.39,1750
10.5,8,35.26,5000
10.5,9,35.67,-5000
10.5,13,41.11,1750
10.5,16,40.38,-3000
10.5,19,39.78,2500
10.5,23,43.59,-500
10.5,28,35.26,-5000
10.5,32,36.26,-3000
11.0,3,42.49,750
11.0,6,39.64,-750
11.0,7,39.88,1750
11.0,10,36.27,500
11.0,13,42.23,1750
11.0,16,38.85,-3000
