Time,PRN,CN0_dBHz,Doppler
0.0,3,43.65,750
0.0,4,35.07,-3750
0.0,6,41.6,-500
0.0,7,37.9,1750
0.0,9,35.0,-6000
0.0,10,35.25,2000
0.0,13,42.87,1750
0.0,14,35.33,3500
0.0,15,35.48,-500
0.0,16,43.06,-2750
0.0,19,39.34,2500
0.0,20,35.66,-3000
0.0,22,35.0,0
0.0,23,44.3,-500
0.0,28,35.17,-2500
0.0,31,35.33,1250
0.5,1,35.41,-750
0.5,3,43.74,750
0.5,6,40.92,-500
0.5,7,40.01,1750
0.5,8,35.06,1750
0.5,10,36.67,750
0.5,13,42.19,1750
0.5,16,42.25,-2750
0.5,18,35.38,-1250
0.5,19,39.69,2500
0.5,20,36.73,-3000
0.5,21,36.71,1750
0.5,23,44.26,-500
1.0,3,43.13,750
1.0,6,42.16,-500
1.0,7,38.85,1750
1.0,10,36.55,750
1.0,11,35.16,-5000
1.0,13,41.27,1750
1.0,16,42.67,-2750
1.0,19,38.71,2750
1.0,20,35.47,-3000
1.0,23,44.16,-500
1.0,31,35.78,-2250
1.5,3,43.67,750
1.5,6,41.8,-500
1.5,7,38.38,1750
1.5,10,36.82,750
1.5,13,43.19,1750
1.5,16,42.48,-2750
1.5,18,35.16,-5250
1.5,19,39.83,2750
1.5,20,36.19,-3000
1.5,22,35.11,-3250
1.5,23,44.43,-500
1.5,25,35.33,-4000
1.5,28,35.56,-1500
2.0,3,44.08,750
2.0,4,35.07,3750
2.0,6,41.29,-500
2.0,7,38.62,1750
2.0,13,41.17,1750
2.0,14,35.66,4750
2.0,16,42.51,-2750
2.0,17,35.24,5750
2.0,19,37.68,2750
2.0,20,36.21,-3000
2.0,23,43.79,-500
2.0,25,35.14,-250
2.0,30,35.48,-2250
2.5,1,35.21,4500
2.5,2,35.26,-2250
2.5,3,44.12,750
2.5,6,41.98,-500
2.5,7,39.77,1750
2.5,13,43.03,1750
2.5,15,36.08,-500
2.5,16,40.68,-2750
2.5,19,39.9,2750
2.5,20,35.11,3500
2.5,23,43.72,-500
2.5,24,35.05,2500
2.5,32,35.01,1000
3.0,3,43.87,750
3.0,6,42.29,-500
3.0,7,39.52,1750
3.0,10,35.15,750
3.0,12,35.55,1000
3.0,13,42.49,1750
3.0,16,42.66,-2750
3.0,17,35.5,-4250
3.0,19,36.93,2750
3.0,22,35.29,4500
3.0,23,44.34,-500
3.0,25,35.81,-5250
3.0,26,35.23,-4250
3.5,1,35.01,3500
3.5,3,43.98,750
3.5,5,35.79,-1750
3.5,6,41.33,-500
3.5,7,38.09,2000
3.5,10,37.72,750
3.5,13,41.8,1750
3.5,16,42.27,-2750
3.5,19,39.44,2500
3.5,20,36.14,-3000
3.5,23,43.46,-500
4.0,2,35.5,-500
4.0,3,43.11,750
4.0,6,42.41,-500
4.0,7,40.11,1750
4.0,10,36.05,2000
4.0,13,43.02,1750
4.0,16,41.96,-2750
4.0,19,39.15,2750
4.0,20,36.47,-3000
4.0,22,35.11,-1750
4.0,23,44.17,-500
4.5,3,43.04,750
4.5,5,35.0,5750
4.5,6,42.96,-500
4.5,7,39.55,1750
4.5,11,35.55,5000
4.5,12,35.47,-3500
4.5,13,43.57,1750
4.5,14,35.04,1750
4.5,16,41.37,-2750
4.5,17,35.31,0
4.5,19,38.28,2500
4.5,23,44.01,-500
5.0,1,37.55,1250
5.0,3,43.64,750
5.0,6,42.37,-500
5.0,7,38.43,1750
5.0,10,35.82,-500
5.0,13,41.6,1750
5.0,16,42.76,-2750
5.0,19,37.57,2500
5.0,20,36.69,-3000
5.0,22,35.57,2500
5.0,23,44.89,-500
5.0,30,35.39,-2500
5.5,3,43.63,750
5.5,6,40.97,-500
5.5,7,39.06,1750
5.5,13,40.19,1750
5.5,15,35.06,5250
5.5,16,41.3,-2750
5.5,17,35.44,2250
5.5,19,38.39,2500
5.5,20,36.29,-3000
5.5,21,35.19,5750
5.5,22,35.21,3000
5.5,23,43.95,-500
5.5,31,35.64,-1000
6.0,3,43.01,750
6.0,6,41.91,-500
6.0,7,40.09,1750
6.0,11,35.09,-5000
6.0,13,42.18,1750
6.0,16,41.87,-2750
6.0,19,39.14,2500
6.0,23,44.29,-500
6.0,26,35.45,-4500
6.0,30,35.97,-3250
6.5,2,36.1,-250
6.5,3,43.33,750
6.5,6,42.12,-500
6.5,7,39.96,1750
6.5,9,35.56,2500
6.5,13,41.5,1750
6.5,14,35.3,0
6.5,16,43.01,-2750
6.5,19,40.08,2750
6.5,20,36.39,-3000
6.5,21,35.07,5500
6.5,22,35.31,1750
6.5,23,44.54,-500
7.0,3,43.7,750
7.0,6,40.99,-500
7.0,7,40.01,1750
7.0,9,35.56,1750
7.0,13,41.86,1750
7.0,14,35.11,-2250
7.0,16,43.01,-2750
7.0,17,35.74,-3750
7.0,19,38.34,2750
7.0,20,35.67,-3000
7.0,23,43.42,-500
7.0,30,35.28,-3000
7.0,31,35.37,5750
7.5,3,43.24,750
7.5,6,41.94,-500
