Time,PRN,CN0_dBHz,Doppler
0.0,6,38.71,1250
0.0,9,39.9,2000
0.0,10,35.07,-250
0.0,13,35.08,5000
0.0,14,37.77,3250
0.0,15,42.91,-2750
0.0,16,35.21,-2500
0.0,18,39.69,500
0.0,21,39.54,250
0.0,22,43.18,1500
0.0,27,36.97,0
0.0,29,35.62,-3500
0.5,3,36.44,1500
0.5,6,38.35,1250
0.5,8,35.16,-5000
0.5,9,39.77,2000
0.5,14,35.49,3250
0.5,15,41.98,-2750
0.5,18,42.82,250
0.5,21,37.33,250
0.5,22,43.21,1500
0.5,27,36.97,0
0.5,29,35.56,-5000
1.0,3,37.44,1500
1.0,6,39.24,1250
1.0,9,38.49,2000
1.0,14,35.08,3250
1.0,15,41.8,-2750
1.0,18,42.2,250
1.0,21,39.8,250
1.0,22,42.05,1500
1.0,23,35.69,-3000
1.0,27,37.71,0
1.0,29,37.51,-3500
1.5,3,38.15,1500
1.5,6,39.02,1250
1.5,9,39.41,2000
1.5,10,35.18,-750
1.5,13,35.4,3000
1.5,15,41.85,-2750
1.5,18,41.86,250
1.5,21,39.56,250
1.5,22,42.43,1500
1.5,27,39.95,0
1.5,29,37.55,-3500
1.5,30,35.59,1750
1.5,32,35.38,4250
2.0,6,39.66,1250
2.0,9,37.74,2000
2.0,14,36.11,3250
2.0,15,42.47,-2750
2.0,16,35.46,-5000
2.0,18,39.65,0
2.0,21,39.84,250
2.0,22,41.91,1500
2.0,23,35.12,4000
2.0,27,39.29,0
2.0,31,35.05,3750
2.5,3,37.4,1500
2.5,6,37.24,1250
2.5,9,39.32,2000
2.5,15,42.13,-2750
2.5,18,39.72,500
2.5,19,35.12,-4750
2.5,21,40.61,250
2.5,22,42.86,1500
2.5,23,35.6,-1750
2.5,27,38.55,0
2.5,29,35.97,3000
3.0,3,37.21,1500
3.0,6,37.72,1250
3.0,9,38.04,2000
3.0,14,35.54,3250
3.0,15,42.84,-2750
3.0,18,42.43,250
3.0,21,36.97,250
3.0,22,42.23,1500
3.0,27,35.7,0
3.0,29,38.59,-3500
3.5,3,35.66,1500
3.5,6,39.18,1250
3.5,9,38.31,2000
3.5,14,35.02,3000
3.5,15,42.49,-2750
3.5,18,43.4,250
3.5,21,38.38,250
3.5,22,42.4,1500
3.5,27,39.09,0
3.5,29,35.39,-3500
3.5,30,35.25,-1500
4.0,3,36.58,1500
4.0,4,35.27,-3000
4.0,6,37.87,1250
4.0,9,38.44,2000
4.0,15,42.94,-2750
4.0,18,42.86,250
4.0,21,38.55,250
4.0,22,42.4,1500
4.0,27,37.39,0
4.0,29,35.33,-3500
4.5,3,36.41,1500
4.5,6,38.07,1250
4.5,9,36.72,2000
4.5,12,35.4,-250
4.5,14,37.3,3250
4.5,15,43.22,-2750
4.5,17,35.02,-2000
4.5,18,39.02,500
4.5,20,35.04,250
4.5,21,39.18,250
4.5,22,42.12,1500
4.5,26,35.38,4250
4.5,27,38.33,0
4.5,29,35.15,-3500
5.0,3,36.48,1500
5.0,6,38.84,1250
5.0,9,40.44,2000
5.0,13,35.25,1000
5.0,14,35.58,1500
5.0,15,42.66,-2750
5.0,17,35.24,5500
5.0,18,42.07,250
5.0,19,35.09,1750
5.0,21,38.75,250
5.0,22,42.73,1500
5.0,24,35.56,-4750
5.0,26,35.47,4250
5.0,27,38.52,0
5.0,32,35.08,-3750
5.5,1,35.13,5250
5.5,3,37.1,1500
5.5,4,35.17,2000
5.5,6,37.1,1250
5.5,8,35.06,4250
5.5,9,37.68,2000
5.5,10,35.04,-750
5.5,14,36.84,3250
5.5,15,43.67,-2750
5.5,18,40.47,500
5.5,21,39.12,250
5.5,22,42.63,1500
5.5,24,35.1,3250
5.5,27,38.86,0
5.5,29,35.02,-3500
5.5,30,35.53,-1500
6.0,1,35.53,0
6.0,3,36.44,1500
6.0,6,36.23,1250
6.0,9,39.07,2000
6.0,15,42.82,-2750
6.0,18,40.32,500
6.0,21,39.22,250
6.0,22,42.24,1500
6.0,27,39.74,0
6.0,29,36.65,-3500
6.0,30,35.14,-5750
6.0,32,35.68,5750
6.5,3,36.43,1500
6.5,5,35.25,2250
6.5,6,37.63,1250
6.5,9,39.45,2000
6.5,12,35.21,-6000
6.5,15,42.86,-2750
6.5,18,39.17,0
6.5,21,40.89,250
6.5,22,42.24,1500
6.5,24,35.09,-3000
6.5,27,38.12,0
6.5,28,35.16,-500
6.5,29,35.31,-3500
7.0,3,36.27,1500
7.0,6,37.05,1250
7.0,9,39.05,2000
7.0,14,35.29,-4750
7.0,15,42.81,-2750
7.0,16,35.54,-2250
7.0,18,40.68,500
7.0,21,38.94,250
7.0,22,43.17,1500
7.0,27,39.3,0
7.5,2,35.03,-4000
7.5,3,37.62,1500
7.5,6,37.22,1250
7.5,9,38.99,2000
7.5,15,41.92,-2750
7.5,18,42.4,250
7.5,21,37.49,250
7.5,22,43.78,1500
7.5,27,40.36,0
7.5,29,37.0,-3500
8.0,3,37.99,1500
8.0,6,37.35,1250
8.0,8,35.72,3000
8.0,9,38.48,2000
8.0,10,35.95,-5500
8.0,14,36.72,3250
8.0,15,42.68,-2750
8.0,16,35.07,-3000
8.0,18,42.99,250
8.0,20,35.41,3500
8.0,21,38.75,250
8.0,22,42.91,1500
8.0,27,39.65,0
8.0,29,35.72,-3500
8.5,3,37.21,1500
8.5,6,38.94,1250
8.5,9,38.06,2000
8.5,13,35.02,1250
8.5,14,35.32,3250
8.5,15,42.88,-2750
8.5,18,39.58,500
8.5,21,39.62,250
8.5,22,42.27,1500
8.5,27,38.44,0
8.5,29,36.62,-3500
9.0,6,36.1,1250
9.0,8,35.36,2000
9.0,9,37.87,2000
9.0,12,35.41,4750
9.0,15,42.86,-2750
9.0,18,43.2,250
9.0,19,35.82,4750
9.0,21,39.15,250
9.0,22,41.74,1500
9.0,27,38.15,0
9.0,28,35.27,-3000
9.0,31,35.67,4500
9.5,1,35.15,2250
9.5,6,36.44,1250
9.5,9,39.79,2000
9.5,10,35.22,-500
9.5,15,43.45,-2750
9.5,18,38.86,500
9.5,21,38.48,250
9.5,22,42.21,1500
9.5,27,38.9,0
9.5,29,37.96,-3500
9.5,32,35.32,4000
10.0,1,35.65,5500
10.0,6,38.44,1250
10.0,9,39.67,2000
10.0,15,41.75,-2750
10.0,18,42.6,250
10.0,21,38.76,250
10.0,22,42.79,1500
10.0,24,35.09,-4500
10.0,27,37.5,0
10.0,29,36.82,-3500
10.0,31,35.36,-500
10.5,2,35.65,4000
10.5,3,35.16,-2000
10.5,6,37.79,1250
10.5,7,35.05,-3500
10.5,9,39.17,2000
10.5,11,35.32,-1250
10.5,14,35.04,-2000
10.5,15,42.15,-2750
10.5,18,42.2,250
10.5,21,38.61,250
10.5,22,43.62,1500
10.5,27,37.91,0
10.5,29,39.73,-3500
10.5,32,35.17,-2750
11.0,2,35.07,-3250
11.0,3,36.4,1500
11.0,6,37.52,1250
11.0,8,35.71,2000
11.0,9,38.59,2000
11.0,14,35.6,3250
11.0,15,43.01,-2750
11.0,18,40.39,500
11.0,19,35.49,-4250
11.0,21,40.24,250
11.0,22,42.35,1500
11.0,23,35.23,5000
11.0,24,35.43,-5750
11.0,27,38.47,0
11.0,29,36.59,-3500
11.5,3,36.27,1500
11.5,6,37.22,1250
11.5,9,38.48,2000
11.5,10,36.12,3250
11.5,14,35.52,3250
11.5,15,43.0,-2750
11.5,18,41.05,500
11.5,19,35.28,5000
11.5,20,35.62,-3750
11.5,21,38.64,250
11.5,22,43.12,1500
11.5,24,35.08,1500
11.5,27,39.76,0
11.5,29,36.6,-3500
12.0,6,35.41,-3750
12.0,9,39.5,2000
12.0,13,35.6,5250
12.0,15,42.2,-2750
12.0,17,35.65,1750
12.0,18,43.25,250
12.0,20,35.33,3750
12.0,21,38.85,250
12.0,22,41.39,1500
12.0,25,35.64,4000
12.0,27,39.1,0
12.0,29,35.04,-3500
12.0,30,35.01,-6000
12.5,6,38.7,1250
12.5,9,39.54,2000
12.5,12,35.52,1250
12.5,15,43.16,-2750
12.5,18,41.95,250
12.5,21,35.96,250
12.5,22,42.41,1500
12.5,26,35.09,-4250
12.5,27,39.48,0
13.0,6,38.87,1250
13.0,9,38.44,2000
13.0,14,35.76,3250
13.0,15,41.65,-2750
13.0,18,38.92,500
13.0,21,39.42,250
13.0,22,42.6,1500
13.0,27,38.95,0
13.0,29,37.29,-3500
13.5,6,37.67,1250
13.5,8,35.04,-3750
13.5,9,40.1,2000
13.5,11,35.03,-1750
13.5,15,42.74,-2750
13.5,16,35.06,1000
13.5,18,43.18,250
13.5,20,35.48,-3750
13.5,21,39.1,250
13.5,22,43.52,1500
13.5,26,35.44,-6000
13.5,27,37.61,0
13.5,30,35.28,500
14.0,1,35.32,-5500
14.0,6,37.08,1250
14.0,9,37.81,2000
14.0,10,35.2,-2750
14.0,14,35.4,3250
14.0,15,42.39,-2750
14.0,18,43.15,250
14.0,21,39.44,250
14.0,22,43.66,1500
14.0,27,37.42,0
14.0,32,35.17,-6000
14.5,1,35.29,3250
14.5,6,36.74,1250
14.5,9,38.17,2000
14.5,14,35.09,4000
14.5,15,41.54,-2750
14.5,18,43.17,250
14.5,21,38.37,250
14.5,22,43.51,1500
14.5,24,35.05,4250
14.5,27,40.39,0
14.5,29,35.97,-3500
15.0,1,35.2,500
15.0,2,35.04,3250
15.0,3,35.51,-1000
15.0,6,37.53,1250
15.0,9,39.79,2000
15.0,15,43.03,-2750
15.0,18,39.43,0
15.0,19,35.33,-3000
15.0,21,40.26,250
15.0,22,42.24,1500
15.0,27,39.5,0
15.0,28,35.12,500
15.0,29,37.55,-3500
15.5,6,36.15,1250
15.5,7,35.3,4000
15.5,9,37.54,2000
15.5,15,41.81,-2750
15.5,18,42.68,250
15.5,21,39.18,250
15.5,22,44.03,1500
15.5,27,40.5,0
15.5,29,35.28,-3500
15.5,30,35.07,1500
16.0,3,36.0,1500
16.0,6,37.03,1250
16.0,7,35.53,-3000
16.0,9,38.71,2000
16.0,10,35.26,-4500
16.0,14,35.18,3250
16.0,15,42.49,-2750
16.0,18,43.24,250
16.0,20,35.17,5000
16.0,21,37.56,250
16.0,22,42.36,1500
16.0,24,35.58,-2750
16.0,27,37.81,0
16.0,29,37.78,-3500
16.0,31,35.36,-500
16.5,3,35.87,1500
16.5,6,36.67,1250
16.5,9,38.35,2000
16.5,11,35.19,-4750
16.5,13,35.02,2000
16.5,14,35.05,3250
16.5,15,40.92,-2750
16.5,18,41.7,250
16.5,21,39.24,250
16.5,22,43.32,1500
16.5,26,35.47,-5500
16.5,27,38.77,0
16.5,29,35.65,-3500
17.0,5,35.2,-2750
17.0,6,37.54,1250
17.0,9,38.74,2000
17.0,15,41.23,-2750
17.0,18,40.76,500
17.0,20,35.08,-6000
17.0,21,37.97,250
17.0,22,43.03,1500
17.0,23,35.68,-2750
17.0,25,35.12,750
17.0,26,35.14,-1500
17.0,27,38.66,0
17.0,29,35.92,1500
17.5,3,36.4,1500
17.5,6,37.27,1250
17.5,9,38.66,2000
17.5,14,35.45,3250
17.5,15,40.21,-2750
17.5,16,35.4,-500
17.5,18,41.26,500
17.5,21,39.7,250
17.5,22,42.62,1500
17.5,27,38.4,0
17.5,29,35.51,-3500
17.5,31,35.1,-2500
18.0,3,36.04,-3500
18.0,6,36.82,1250
18.0,9,36.68,2000
18.0,15,41.95,-2750
18.0,16,35.59,250
18.0,18,42.77,250
18.0,21,39.88,250
18.0,22,41.83,1500
18.0,27,38.86,0
18.0,28,35.05,1250
18.0,29,38.13,-3500
18.5,6,38.32,1250
18.5,9,39.51,2000
18.5,15,41.66,-2750
18.5,18,37.94,500
18.5,19,35.37,500
18.5,20,35.35,-3750
18.5,21,40.8,250
18.5,22,43.13,1500
18.5,25,35.13,3250
18.5,27,40.0,0
18.5,29,36.4,-3500
18.5,30,35.62,1000
19.0,2,35.02,-750
19.0,6,35.78,1250
19.0,8,35.17,750
19.0,9,38.64,2000
19.0,15,40.91,-2750
19.0,18,42.72,250
19.0,21,39.81,250
19.0,22,41.93,1500
19.0,23,35.12,3250
19.0,25,35.58,4750
19.0,27,37.19,0
19.0,29,38.12,-3500
19.5,3,36.82,1500
19.5,6,37.28,1250
19.5,9,35.68,2000
19.5,14,37.57,3250
19.5,15,42.03,-2750
19.5,17,35.42,1500
19.5,18,42.17,250
19.5,21,39.53,250
19.5,22,42.68,1500
19.5,25,35.72,-1000
19.5,26,35.19,2500
19.5,27,39.46,0
19.5,29,36.24,-3500
20.0,1,35.0,-3500
20.0,3,36.3,1500
20.0,4,35.01,-5500
20.0,6,36.11,1250
20.0,9,39.96,2000
20.0,15,42.0,-2750
20.0,17,35.73,3750
20.0,18,41.03,250
20.0,21,39.8,250
20.0,22,42.83,1500
20.0,23,35.25,-1750
20.0,27,40.33,0
20.0,29,37.27,-3500
20.0,32,35.52,1750
20.5,3,35.96,1500
20.5,6,39.02,1250
20.5,9,38.56,2000
20.5,12,35.16,-1500
20.5,15,42.08,-2750
20.5,18,39.77,0
20.5,20,35.29,-2000
20.5,21,40.35,250
20.5,22,42.45,1500
20.5,23,35.08,3000
20.5,27,37.95,0
20.5,29,37.47,-3500
21.0,3,36.85,1500
21.0,6,35.75,1250
21.0,9,40.09,2000
21.0,14,36.13,3250
21.0,15,42.43,-2750
21.0,18,42.13,250
21.0,21,39.36,250
21.0,22,42.46,1500
21.0,28,35.03,750
21.0,32,35.07,2000
21.5,2,35.0,-250
21.5,3,36.95,1500
21.5,5,36.61,5250
21.5,9,39.57,2000
21.5,15,41.35,-2750
21.5,18,39.67,0
21.5,21,41.11,250
21.5,22,42.42,1500
21.5,27,40.44,0
21.5,29,36.09,-3500
22.0,1,35.24,3000
22.0,3,35.92,1500
22.0,5,36.16,-5000
22.0,6,37.22,1250
22.0,9,37.82,2000
22.0,14,36.15,3250
22.0,15,42.98,-2750
22.0,17,35.41,1250
22.0,18,38.7,500
22.0,21,40.16,250
22.0,22,42.43,1500
22.0,27,41.25,0
22.0,29,37.11,-3500
22.0,30,35.21,3250
22.5,3,37.59,1500
22.5,5,35.42,250
22.5,6,37.76,1250
22.5,9,38.78,2000
22.5,11,35.08,500
22.5,14,35.04,3250
22.5,15,42.56,-2750
22.5,18,42.94,250
22.5,21,38.02,250
22.5,22,42.41,1500
22.5,27,38.84,0
22.5,28,35.48,-1000
22.5,29,35.46,-3500
23.0,3,38.42,1500
23.0,4,35.91,2500
23.0,6,38.45,1250
23.0,8,35.09,-2500
23.0,9,37.87,2000
23.0,12,36.57,2250
23.0,15,42.45,-2750
23.0,18,43.13,250
23.0,19,35.31,-3750
23.0,21,39.99,250
23.0,22,42.85,1500
23.0,27,38.13,0
23.5,2,35.18,-4750
23.5,3,35.37,1500
23.5,5,35.08,-1000
23.5,6,35.86,1250
23.5,7,35.26,-5000
23.5,9,37.7,2000
23.5,11,35.23,-1750
23.5,14,35.39,3000
23.5,15,40.27,-2750
23.5,18,38.5,500
23.5,21,38.98,250
23.5,22,42.88,1500
23.5,25,36.8,1500
23.5,27,39.84,0
23.5,29,35.42,-3500
23.5,32,35.28,1250
24.0,3,35.32,1500
24.0,6,38.13,1250
24.0,9,37.25,2000
24.0,15,41.86,-2750
24.0,17,35.51,5000
24.0,18,39.86,500
24.0,21,40.0,250
24.0,22,42.92,1500
24.0,27,41.68,0
24.0,29,38.6,-3500
24.5,3,37.2,1500
24.5,4,35.13,2250
24.5,6,35.87,1250
24.5,9,38.22,2000
24.5,15,42.31,-2750
24.5,18,39.27,500
24.5,19,35.64,5750
24.5,21,40.16,250
24.5,22,41.84,1500
24.5,27,35.83,0
24.5,28,35.27,-4000
24.5,29,35.43,-3500
25.0,3,36.14,1500
25.0,5,35.07,-2750
25.0,6,38.57,1250
25.0,9,36.73,2000
25.0,13,35.65,-3000
25.0,14,35.47,3250
25.0,15,40.65,-2750
25.0,18,40.91,250
25.0,21,35.86,250
25.0,22,42.64,1500
25.0,27,38.42,0
25.0,28,35.03,5250
25.0,29,37.83,-3500
25.5,3,36.28,1500
25.5,6,37.16,1250
25.5,9,37.7,2000
25.5,14,35.19,3250
25.5,15,42.4,-2750
25.5,17,35.02,-4000
25.5,18,42.55,250
25.5,21,39.66,250
25.5,22,44.14,1500
25.5,23,35.31,0
25.5,24,35.56,-4000
25.5,27,41.44,0
25.5,29,35.49,-3500
26.0,6,37.0,1250
26.0,7,35.05,5000
26.0,9,37.4,2000
26.0,15,40.56,-2750
26.0,18,42.88,250
26.0,19,35.31,-750
26.0,20,35.12,500
26.0,21,38.61,250
26.0,22,43.25,1500
26.0,23,35.01,-6000
26.0,27,37.11,0
26.0,29,37.67,-3500
26.5,2,35.04,-250
26.5,3,36.26,1500
26.5,6,37.14,1250
26.5,9,38.42,2000
26.5,15,41.69,-2750
26.5,16,36.11,-1750
26.5,18,41.7,250
26.5,21,39.67,250
26.5,22,42.28,1500
26.5,24,35.7,-4750
26.5,26,35.44,5250
26.5,27,37.6,0
26.5,28,35.37,-3750
26.5,29,36.8,-3500
27.0,6,37.22,1250
27.0,9,37.4,2000
27.0,10,35.68,1500
27.0,15,42.01,-2750
27.0,18,41.9,250
27.0,20,35.11,-4500
27.0,21,39.51,250
27.0,22,41.5,1500
27.0,23,35.07,-1750
27.0,24,35.1,250
27.0,27,40.36,0
27.0,31,35.44,2500
27.0,32,35.21,2250
27.5,3,35.8,1500
27.5,4,36.1,2000
27.5,6,37.02,1250
27.5,8,35.2,-5750
27.5,9,40.03,2000
27.5,12,35.59,-5000
27.5,15,42.26,-2750
27.5,18,37.61,500
27.5,21,40.47,250
27.5,22,42.28,1500
27.5,27,39.89,0
27.5,29,36.3,-3500
28.0,4,35.03,1250
28.0,6,38.31,1250
28.0,7,35.1,-500
28.0,9,37.94,2000
28.0,12,35.61,-3500
28.0,15,40.7,-2750
28.0,16,35.44,4250
28.0,18,42.14,250
28.0,21,40.34,250
28.0,22,44.0,1500
28.0,27,39.52,0
28.0,28,35.54,2750
28.5,3,36.71,1500
28.5,4,35.02,-2750
28.5,6,35.45,1250
28.5,9,37.33,2000
28.5,14,36.73,4750
28.5,15,40.61,-2750
28.5,17,35.02,-500
28.5,18,41.87,250
28.5,21,39.23,250
28.5,22,43.9,1500
28.5,25,35.13,-4000
28.5,26,35.43,250
28.5,27,40.65,0
28.5,28,36.11,4750
28.5,29,37.4,-3500
28.5,32,35.2,-3250
29.0,2,35.0,-6000
29.0,3,35.74,1500
29.0,6,36.87,1250
29.0,9,39.25,2000
29.0,10,35.22,-1500
29.0,15,42.46,-2750
29.0,18,40.89,250
29.0,19,35.3,-1000
29.0,21,37.62,250
29.0,22,43.45,1500
29.0,25,35.16,3000
29.0,26,35.52,-1750
29.0,27,37.59,0
29.0,32,35.32,5750
29.5,1,35.32,2000
29.5,3,36.13,1500
29.5,6,36.38,1250
29.5,9,36.7,2000
29.5,10,35.08,1500
29.5,11,35.5,-1750
29.5,14,35.04,-4750
29.5,15,40.51,-2750
29.5,18,39.5,0
29.5,21,38.83,250
29.5,22,43.14,1500
29.5,23,35.32,-3000
29.5,25,35.28,-5250
29.5,27,38.7,0
29.5,29,35.34,-3500
30.0,1,35.43,-500
30.0,3,37.49,1500
30.0,5,35.57,4250
30.0,6,37.12,1250
30.0,9,38.91,2000
30.0,10,35.06,-4000
30.0,14,35.17,3250
30.0,15,41.54,-2750
30.0,17,35.13,1000
30.0,18,37.51,500
30.0,21,39.19,250
30.0,22,42.98,1500
30.0,27,39.36,0
30.0,29,35.84,-3500
30.5,2,35.69,-5500
30.5,6,36.17,1250
30.5,9,37.79,2000
30.5,10,35.28,-2250
30.5,15,40.08,-2750
30.5,18,43.38,250
30.5,21,39.84,250
30.5,22,43.18,1500
30.5,27,38.25,0
30.5,29,36.7,-3500
30.5,32,35.88,3000
31.0,3,37.36,1500
31.0,6,37.23,1250
31.0,9,38.88,2000
31.0,10,35.45,-2750
31.0,12,35.14,250
31.0,14,35.72,-5750
31.0,15,42.18,-2750
31.0,18,42.63,250
31.0,20,35.14,1500
31.0,21,39.99,250
31.0,22,44.16,1500
31.0,27,40.36,0
31.0,31,35.27,-3000
31.5,6,37.94,1250
31.5,9,36.48,2000
31.5,13,35.19,1500
31.5,15,42.25,-2750
31.5,18,41.43,250
31.5,21,40.28,250
